annee,tauxfemme,tauxhomme,ensemble
"2006","0.8","2","1.4",""
"2007","0.8","2.2","1.5",""
"2008","0.8","1.5","1",""
"2009","0.8","2.2","1.5",""
"2010","0.8","2.2","1.5",""
"2011","0.6","1.4","1",""
"2012","0.6","1.4","1",""
"2013","0.6","1.5","1.1",""
"2014","0.6","1.7","1.1",""
"2015","12.3","10.7","11.5",""
"2016","12.2","10.6","11.4",""
