annee,tauxfemme,tauxhomme,ensemble
"2006","18.7","9.9","13.2",""
"2007","20.9","11.1","14.8",""
"2008","18.8","9.9","13.3",""
"2009","16.6","8.8","11.9",""
"2010","12.7","7.1","9.3",""
"2011","12.6","6.6","9",""
"2012","12.2","6.4","8.7",""
"2013","12.4","6.6","8.9",""
"2014","14.3","7.5","10.2",""
"2015","14.6","7.7","10.4",""
"2016","14.5","7.6","10.3",""
