annee,tauxfemme,tauxhomme,ensemble
"2006","13.3","11.3","12.3",""
"2007","13.2","11.3","12.2",""
"2008","13.2","11.3","12.2",""
"2009","13.2","11.3","12.2",""
"2010","13.2","11.2","12.2",""
"2011","13.1","12.0","",""
"2012","13.5","11.5","12.4",""
"2013","13.4","11.5","12.4",""
"2014","13.4","11.6","12.4",""
"2015","12.4","10.8","11.5",""
"2016","12.4","10.7","11.5",""
