annee,tauxfemme,tauxhomme,ensemble
"2006","2.9","1.4","2.2",""
"2007","2.9","1.4","2.2",""
"2008","2.9","1.4","2.2",""
"2009","2.9","1.4","2.2",""
"2010","2.9","1.4","2.2",""
"2011","2.9","1.4","2.2",""
"2012","2.8","1.4","2.2",""
"2013","2.8","1.4","2.2",""
"2014","2.9","1.4","2.2",""
"2015","2.0","1.6","1.8",""
"2016","1.9","1.5","1.8",""
