annee,tauxfemme,tauxhomme,ensemble
"2006","13.8","8.6","10.9",""
"2007","13.8","8.6","11.0",""
"2008","13.8","8.6","11.0",""
"2009","13.8","8.6","11",""
"2010","13.8","8.7","11",""
"2011","13.8","8.7","11",""
"2012","14.3","9","11.4",""
"2013","13.4","8.4","10.6",""
"2014","9.1","5.7","7.2",""
"2015","8.3","5.3","6.7",""
"2016","9.8","6.2","7.8",""
