annee,tauxfemme,tauxhomme,ensemble
"2006","5.7","4","4.8",""
"2007","3.7","5.7","4.7",""
"2008","4.4","5.1","4.7",""
"2009","5.1","4.5","4.8",""
"2010","6.7","3.4","5",""
"2011","6.6","3.4","5",""
"2012","6.6","3.4","5",""
"2013","5.6","3.4","4.5",""
"2014","5.7","3.8","4.8",""
"2015","5.4","3.8","4.6",""
"2016","5.4","3.9","4.6",""
