annee,tauxfemme,tauxhomme,ensemble
"2006","20.2","12","14.6",""
"2007","18.5","10.4","13.1",""
"2008","19.4","11.2","14",""
"2009","20.2","11.7","14.7",""
"2010","19","10.9","13.8",""
"2011","19.3","8.5","12.5",""
"2012","19.2","8.4","12.4",""
"2013","20.1","9.8","13.6",""
"2014","19.3","9.8","13.3",""
"2015","19.3","9.6","13.2",""
"2016","18.9","9.6","13.1",""
