annee,"tauxfemme","tauxhomme","ensemble"
"2006","22.4","12.3","16.1",""
"2007","22.4","12.3","16.1",""
"2008","22.5","12.4","16.2",""
"2009","23.1","12.8","16.7",""
"2010","22.9","12.6","16.5",""
"2011","22.7","12.5","16.5",""
"2012","22.9","12.6","16.7",""
"2013","23.0","12.6","16.7",""
"2014","23.6","13.0","17.2",""
"2015","23.2","13.2","17.2",""
"2016","23.6","13.4","17.5",""
